# Rime table
#@/db_name	cn_en.txt
#@/db_type	tabledb
#@/tick	0
ENSO循环	ensoxunhuan
方块A	fangkuaia
方块J	fangkuaij
IE浏览器	ieliulanqi	0
iOS版	iosban	0
iOS版本	iosbanben	0
iOS端	iosduan	0
IP电话	ipdianhua	0
IP地址	ipdizhi	0
IP卡	ipka	0
IT行业	ithangye	0
IT界	itjie	0
IT业	itye	0
冀A	jiA	0
吉A	jiA	0
冀B	jiB	0
吉B	jiB	0
冀C	jiC	0
吉C	jiC	0
冀D	jiD	0
吉D	jiD	0
冀E	jiE	0
吉E	jiE	0
冀F	jiF	0
吉F	jiF	0
冀G	jiG	0
吉G	jiG	0
冀H	jiH	0
吉H	jiH	0
冀J	jiJ	0
吉J	jiJ	0
吉K	jiK	0
冀R	jiR	0
冀S	jiS	0
冀T	jiT	0
加Q	jiaQ	0
加QQ	jiaQQ	0
减CD	jianCD	0
减CD	jiancd	0
江南Style	jiangnanStyle	0
江南Style	jiangnanstyle	0
加Q	jiaq	0
加QQ	jiaqq	0
晋A	jinA	0
晋B	jinB	0
晋C	jinC	0
晋D	jinD	0
晋E	jinE	0
晋F	jinF	0
晋H	jinH	0
晋J	jinJ	0
晋K	jinK	0
晋L	jinL	0
晋M	jinM	0
就OK	jiuOK	0
就OK	jiuok	0
J·K·罗琳	jkluolin	0
J盘	jpan	0
J·R·R·托尔金	jrrtuoerjin	0
卡bug	kabug	0
开party	kaiparty	0
卡拉OK	kalaOK	0
卡拉OK	kalaok	0
K宝	kbao	0
嗑CP	keCP	0
嗑CP	kecp	0
K粉	kfen	0
K歌	kge	0
K歌王	kgewang	0
K线	kxian	0
K线图	kxiantu	0
蓝Buff	lanBuff	0
蓝Buff	lanbuff	0
老Baby	laoBaby	0
老K	laoK	0
老Baby	laobaby	0
老K	laok	0
立Flag	liFlag	0
辽A	liaoA	0
辽B	liaoB	0
辽C	liaoC	0
辽D	liaoD	0
辽E	liaoE	0
辽F	liaoF	0
辽G	liaoG	0
辽H	liaoH	0
辽J	liaoJ	0
辽K	liaoK	0
辽L	liaoL	0
辽M	liaoM	0
辽N	liaoN	0
辽P	liaoP	0
立Flag	liflag	0
Lite版	liteban	0
Lite版本	litebanben	0
L码	lma	0
鲁A	luA	0
鲁B	luB	0
鲁C	luC	0
鲁D	luD	0
鲁E	luE	0
鲁F	luF	0
鲁G	luG	0
鲁H	luH	0
鲁J	luJ	0
鲁K	luK	0
鲁L	luL	0
鲁M	luM	0
鲁N	luN	0
鲁P	luP	0
鲁Q	luQ	0
鲁R	luR	0
鲁S	luS	0
鲁U	luU	0
鲁V	luV	0
鲁Y	luY	0
macOS版	macOSban	0
macOS版本	macOSbanben	0
macOS端	macOSduan	0
Mac版	macban	0
Mac版本	macbanben	0
MAC地址	macdizhi	0
Mac端	macduan	0
macOS版	macosban	0
macOS版本	macosbanben	0
macOS端	macosduan	0
芒果TV	mangguoTV	0
芒果TV	mangguotv	0
马歇尔·D·蒂奇	maxieerDdiqi	0
马歇尔·D·蒂奇	maxieerddiqi	0
没bug	meibug	0
没有bug	meiyoubug	0
蒙A	mengA	0
蒙B	mengB	0
蒙C	mengC	0
蒙D	mengD	0
蒙E	mengE	0
蒙F	mengF	0
蒙G	mengG	0
蒙H	mengH	0
蒙J	mengJ	0
蒙K	mengK	0
蒙L	mengL	0
蒙M	mengM	0
蒙A	menga	0
蒙B	mengb	0
蒙C	mengc	0
蒙D	mengd	0
蒙E	menge	0
蒙F	mengf	0
蒙G	mengg	0
蒙H	mengh	0
蒙J	mengj	0
蒙K	mengk	0
蒙L	mengl	0
蒙M	mengm	0
蒙奇·D·卡普	mengqiDkapu	0
蒙奇·D·龙	mengqiDlong	0
蒙奇·D·路飞	mengqiDlufei	0
蒙奇·D·卡普	mengqidkapu	0
蒙奇·D·龙	mengqidlong	0
蒙奇·D·路飞	mengqidlufei	0
闽A	minA	0
闽B	minB	0
闽C	minC	0
闽D	minD	0
闽E	minE	0
闽F	minF	0
闽G	minG	0
闽H	minH	0
闽J	minJ	0
闽K	minK	0
闽A	mina	0
闽B	minb	0
闽C	minc	0
闽D	mind	0
闽E	mine	0
闽F	minf	0
闽G	ming	0
闽H	minh	0
谜拟Q	miniQ	0
谜拟Q	miniq	0
闽J	minj	0
闽K	mink	0
M码	mma	0
M系列	mxilie	0
Nabla算子	nablasuanzi	0
N遍	nbian	0
N次	nci	0
n次方	ncifang	0
N多	nduo	0
N多个	nduoge	0
N多人	nduoren	0
N股	ngu	0
宁A	ningA	0
宁B	ningB	0
宁C	ningC	0
宁D	ningD	0
宁E	ningE	0
宁A	ninga	0
宁B	ningb	0
宁C	ningc	0
宁D	ningd	0
宁E	ninge	0
牛B	niuB	0
牛B	niub	0
N卡	nka	0
N年	nnian	0
O不OK	obuok	0
OK啊	oka	0
OK不	okbu	0
OK啦	okla	0
OK了	okle	0
OK了吗	oklema	0
OK吗	okma	0
OK嘛	okma	0
OK么	okme	0
OK呀	okya	0
Option键	optionjian	0
Opt键	optjian	0
O型	oxing	0
O型血	oxingxue	0
O血型	oxuexing	0
拍CT	paiCT	0
拍CT	paict	0
Papi酱	papijiang	0
PC版	pcban	0
PC版本	pcbanben	0
PC端	pcduan	0
P个图	pgetu	0
平A	pingA	0
平A	pinga	0
PIN码	pinma	0
PK赛	pksai	0
POS机	posji	0
Pro版	proban	0
Pro版本	probanben	0
P社	pshe	0
P图	ptu	0
PUK码	pukma	0
PVC管	pvcguan	0
P一下	pyixia	0
P站	pzhan	0
Q版	qban	0
Q币	qbi	0
乔治·R·R·马丁	qiaozhiRRmading	0
乔治·R·R·马丁	qiaozhirrmading	0
青A	qingA	0
青B	qingB	0
青C	qingC	0
青D	qingD	0
青E	qingE	0
青F	qingF	0
青G	qingG	0
青H	qingH	0
青A	qinga	0
青B	qingb	0
青C	qingc	0
青D	qingd	0
青E	qinge	0
青F	qingf	0
青G	qingg	0
青H	qingh	0
琼A	qiongA	0
琼B	qiongB	0
琼C	qiongC	0
琼D	qiongD	0
琼E	qiongE	0
琼A	qionga	0
琼B	qiongb	0
琼C	qiongc	0
琼D	qiongd	0
琼E	qionge	0
QQ飞车	qqfeiche	0
QQ号	qqhao	0
QQ号码	qqhaoma	0
QQ好友	qqhaoyou	0
QQ会员	qqhuiyuan	0
QQ空间	qqkongjian	0
QQ拼音	qqpinyin	0
QQ群	qqqun	0
QQ三国	qqsanguo	0
QQ输入法	qqshurufa	0
QQ堂	qqtang	0
QQ秀	qqxiu	0
QQ音速	qqyinsu	0
QQ音乐	qqyinyue	0
QQ游戏	qqyouxi	0
QQ邮箱	qqyouxiang	0
QQ游戏大厅	qqyouxidating	0
Q弹	qtan	0
Q我	qwo	0
人均GDP	renjunGDP	0
人均GDP	renjungdp	0
Return键	returnjian	0
日K线	riKxian	0
日K线	rikxian	0
R级	rji	0
3D打印	sanDdayin	0
3D电影	sanDdianying	0
3G流量	sanGliuliang	0
3G网络	sanGwangluo	0
三K党	sanKdang	0
3D打印	sanddayin	0
3D电影	sanddianying	0
3G流量	sangliuliang	0
3G网络	sangwangluo	0
三K党	sankdang	0
三无Marblue	sanwuMarblue	0
三无Marblue	sanwumarblue	0
Server酱	serverjiang	0
S股	sgu	0
傻B	shaB	0
傻X	shaX	0
傻B	shab	0
啥bug	shabug	0
陕A	shanA	0
陕B	shanB	0
陕C	shanC	0
陕D	shanD	0
陕E	shanE	0
陕F	shanF	0
陕G	shanG	0
陕H	shanH	0
陕J	shanJ	0
陕K	shanK	0
陕U	shanU	0
陕V	shanV	0
陕A	shana	0
陕B	shanb	0
陕C	shanc	0
陕D	shand	0
陕E	shane	0
陕F	shanf	0
陕G	shang	0
陕H	shanh	0
陕J	shanj	0
陕K	shank	0
陕U	shanu	0
陕V	shanv	0
傻X	shax	0
Shift键	shiftjian	0
4A级	siAji	0
4G流量	siGliuliang	0
4G网络	siGwangluo	0
4S店	siSdian	0
4A级	siaji	0
4G流量	sigliuliang	0
4G网络	sigwangluo	0
SIM卡	simka	0
4S店	sisdian	0
S级	sji	0
S码	sma	0
Space键	spacejian	0
S曲线	squxian	0
Steam云	steamyun	0
苏A	suA	0
苏B	suB	0
苏C	suC	0
苏D	suD	0
苏E	suE	0
苏F	suF	0
苏G	suG	0
苏H	suH	0
苏J	suJ	0
苏K	suK	0
苏L	suL	0
苏M	suM	0
苏N	suN	0
苏U	suU	0
苏A	sua	0
苏B	sub	0
苏C	suc	0
苏D	sud	0
苏E	sue	0
苏F	suf	0
苏G	sug	0
苏H	suh	0
随身Wi-Fi	suishenWiFi	0
随身Wi-Fi	suishenwifi	0
苏J	suj	0
苏K	suk	0
苏L	sul	0
苏M	sum	0
苏N	sun	0
苏U	suu	0
Switch版	switchban	0
Switch版本	switchbanben	0
S形	sxing	0
Tab键	tabjian	0
特拉法尔加·D·瓦铁尔·罗	telafaerjiaDwatieerluo	0
特拉法尔加·D·瓦铁尔·罗	telafaerjiadwatieerluo	0
Telegram群	telegramqun	0
腾讯QQ	tengxunQQ	0
腾讯QQ	tengxunqq	0
藤子·F·不二雄	tengziFbuerxiong	0
藤子·F·不二雄	tengzifbuerxiong	0
TF版	tfban	0
TF版本	tfbanben	0
TF卡	tfka	0
TG群	tgqun	0
提bug	tibug	0
T淋巴细胞	tlinbaxibao	0
头文字D	touwenziD	0
头文字D	touwenzid	0
T台	ttai	0
TV版	tvban	0
TV版本	tvbanben	0
T细胞	txibao	0
T型台	txingtai	0
T恤	txu	0
T恤衫	txushan	0
U盾	udun	0
UIM卡	uimka	0
U盘	upan	0
Up主	upzhu	0
USB接口	usbjiekou	0
USB口	usbkou	0
USB线	usbxian	0
USIM卡	usimka	0
UU加速器	uujiasuqi	0
U形	uxing	0
U形管	uxingguan	0
U型锁	uxingsuo	0
V8引擎	vbayinqing	0
V怪客	vguaike	0
VIP会员	viphuiyuan	0
VIP卡	vipka	0
VIP中P	vipzhongp	0
V领	vling	0
V煞	vsha	0
V社	vshe	0
V站	vzhan	0
V字仇杀队	vzichoushadui	0
V字领	vziling	0
V字形	vzixing	0
皖A	wanA	0
皖B	wanB	0
皖C	wanC	0
皖D	wanD	0
皖E	wanE	0
皖F	wanF	0
皖G	wanG	0
皖H	wanH	0
皖J	wanJ	0
